name,price,discount,memory,display,camera,battery,warranty,processor
"Samsung Galaxy F06 5G (Lit Violet, 128 GB)","₹8,699",37% off,4 GB RAM | 128 GB ROM | Expandable Upto 1500 GB,17.02 cm (6.7 inch) HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Dimensity 6300 Processor
"Samsung Galaxy F16 5G (Glam Green, 128 GB)","₹10,749",32% off,4 GB RAM | 128 GB ROM,16.91 cm (6.657 inch) Full HD+ Display,50MP + 5MP + 2MP | 13MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Dimensity 6300 Processor
"Ai+ Pulse (Purple, 64 GB)","₹5,499",31% off,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,17.13 cm (6.745 inch) HD+ Display,50MP Rear Camera | 5MP Front Camera,5000 mAh Battery,1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories,T615 Processor
"Motorola g45 5G (Pantone Moss, 128 GB)","₹11,999",20% off,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery,1 Year Warranty on Handset and 6 Months Warranty on Accessories,Snapdragon 6s Gen 3 Processor
"MOTOROLA Edge 60 Fusion 5G (PANTONE Slipstream, 256 GB)","₹22,999",11% off,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Display,50MP + 13MP | 32MP Front Camera,5500 mAh Battery,1 Year Warranty on Handset and 6 Months Warranty on Accessories,68W Charger
"Samsung Galaxy A35 5G (Awesome Lilac, 128 GB)","₹19,999",41% off,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP + 5MP | 13MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Samsung Exynos 1380 Processor
"POCO C75 5G (Aqua Bliss, 64 GB)","₹7,699",30% off,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,17.48 cm (6.88 inch) HD+ Display,50MP Rear Camera | 5MP Front Camera,5160 mAh Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4s Gen 2 5G Processor
"Motorola G85 5G (Viva Magenta, 128 GB)","₹15,999",23% off,8 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,50MP + 8MP | 32MP Front Camera,5000 mAh Battery,1 Year on Handset and 6 Months on Accessories,6s Gen 3 Processor
"Nokia 130 Music Dual Sim, Music Player, Wireless FM Radio and Dedicated Music Buttons","₹1,585",24% off,4 MB RAM | 4 MB ROM,6.1 cm (2.4 inch) Display,0MP Front Camera,1450 mAh Battery,NA,6261D Processor
"Motorola g45 5G (Pantone Dahlia Purple, 128 GB)","₹11,999",20% off,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery,1 Year Warranty on Handset and 6 Months Warranty on Accessories,Snapdragon 6s Gen 3 Processor
"realme 15 5G (Flowing Silver, 128 GB)","₹25,999",13% off,8 GB RAM | 128 GB ROM,17.27 cm (6.8 inch) Display,50MP + 8MP | 50MP Front Camera,7000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,Mediatek Dimensity 7300+ 5G Processor
"realme 15 Pro 5G (Flowing Silver, 256 GB)","₹33,999",10% off,8 GB RAM | 256 GB ROM,17.27 cm (6.8 inch) Display,50MP + 50MP | 50MP Front Camera,7000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,Snapdragon 7 Gen 4 Processor
"realme P3 5G (Space Silver, 128 GB)","₹15,999",20% off,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) Full HD+ Display,50MP + 2MP | 16MP Front Camera,6000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,6 Gen 4 Processor
"Ai+ Nova 5G (Green, 128 GB)","₹8,499",22% off,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.13 cm (6.745 inch) HD+ Display,50MP Rear Camera | 5MP Front Camera,5000 mAh Battery,1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories,T8200 Processor
"Motorola G85 5G (Olive Green, 128 GB)","₹15,999",23% off,8 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,50MP + 8MP | 32MP Front Camera,5000 mAh Battery,1 Year on Handset and 6 Months on Accessories,6s Gen 3 Processor
"Motorola Edge 50 Fusion (Hot Pink, 256 GB)","₹20,999",25% off,12 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 13MP | 32MP Front Camera,5000 mAh Battery,1 Year on Handset and 6 Months on Accessories,7s Gen 2 Processor
"Samsung Galaxy S24 FE 5G (Blue, 128 GB)","₹35,999",40% off,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 12MP | 10MP Front Camera,4700 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Exynos 2400e Processor
"Samsung Galaxy F16 5G (Bling Black, 128 GB)","₹11,999",31% off,6 GB RAM | 128 GB ROM,16.91 cm (6.657 inch) Full HD+ Display,50MP + 5MP + 2MP | 13MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Dimensity 6300 Processor
"Ai+ Pulse (Blue, 64 GB)","₹5,499",31% off,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,17.13 cm (6.745 inch) HD+ Display,50MP Rear Camera | 5MP Front Camera,5000 mAh Battery,1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories,T615 Processor
"MOTOROLA Edge 60 Fusion 5G (PANTONE Zephyr, 256 GB)","₹22,999",11% off,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Display,50MP + 13MP | 32MP Front Camera,5500 mAh Battery,1 Year Warranty on Handset and 6 Months Warranty on Accessories,68W Charger
"Samsung Galaxy F36 5G (Violet, 128 GB)","₹17,499",23% off,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 2MP | 13MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Samsung Exynos 1380 Processor
"Samsung Galaxy F16 5G (Glam Green, 128 GB)","₹13,499",28% off,8 GB RAM | 128 GB ROM,16.91 cm (6.657 inch) Full HD+ Display,50MP + 5MP + 2MP | 13MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Dimensity 6300 Processor
"MOTOROLA G96 5G (Pantone Ashleigh Blue, 128 GB)","₹17,999",14% off,8 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,50MP + 8MP | 32MP Front Camera,5500 mAh Battery,1 Year Warranty on Handset and 6 Months Warranty on Accessories,7s Gen 2 Processor
"Motorola G85 5G (Urban Grey, 128 GB)","₹15,999",23% off,8 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,50MP + 8MP | 32MP Front Camera,5000 mAh Battery,1 Year on Handset and 6 Months on Accessories,6s Gen 3 Processor
"Samsung Galaxy F06 5G (Lit Violet, 128 GB)","₹8,699",13% off,4 GB RAM | 128 GB ROM | Expandable Upto 1500 GB,17.02 cm (6.7 inch) HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Dimensity 6300 Processor
"Motorola g45 5G (Brilliant Green, 128 GB)","₹11,999",22% off,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery,1 Year Warranty on Handset and 6 Months Warranty on Accessories,Snapdragon 6s Gen 3 Processor
"Samsung Galaxy F16 5G (Glam Green, 128 GB)","₹10,749",40% off,4 GB RAM | 128 GB ROM,16.91 cm (6.657 inch) Full HD+ Display,50MP + 5MP + 2MP | 13MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Dimensity 6300 Processor
"Samsung Galaxy A35 5G (Awesome Lilac, 128 GB)","₹19,999",32% off,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP + 5MP | 13MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Samsung Exynos 1380 Processor
"POCO C75 5G (Enchanted Green, 128 GB)","₹8,499",20% off,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.48 cm (6.88 inch) HD+ Display,50MP Rear Camera | 5MP Front Camera,5160 mAh Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4s Gen 2 5G Processor
"realme C61 (Safari Green, 64 GB)","₹7,699",37% off,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,17.13 cm (6.745 inch) HD+ Display,32MP Rear Camera | 5MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,T612 Processor
"realme 15 5G (Flowing Silver, 128 GB)","₹25,999",20% off,8 GB RAM | 128 GB ROM,17.27 cm (6.8 inch) Display,50MP + 8MP | 50MP Front Camera,7000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,Mediatek Dimensity 7300+ 5G Processor
"realme 15 Pro 5G (Flowing Silver, 256 GB)","₹33,999",32% off,8 GB RAM | 256 GB ROM,17.27 cm (6.8 inch) Display,50MP + 50MP | 50MP Front Camera,7000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,Snapdragon 7 Gen 4 Processor
"realme P3x 5G (Midnight Blue, 128 GB)","₹12,999",41% off,6 GB RAM | 128 GB ROM,17.07 cm (6.72 inch) Full HD Display,50MP Rear Camera | 8MP Front Camera,6000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,Dimensity 6400 Processor
"POCO C71 (Cool Blue, 64 GB)","₹6,399",26% off,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,17.48 cm (6.88 inch) HD+ Display,32MP Rear Camera | 8MP Front Camera,5200 mAh Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"Unisoc T7250
Max clock speed: 
2 x A75@1.8GHz
6 x A55@1.6GHz Processor"
"Samsung Galaxy S24 FE 5G (Blue, 128 GB)","₹35,999",14% off,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 12MP | 10MP Front Camera,4700 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Exynos 2400e Processor
"OPPO F27 Pro+ (Midnight Navy, 256 GB)","₹17,999",13% off,8 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,64MP + 2MP | 8MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,Dimensity 7050 Processor
"Samsung Galaxy F16 5G (Bling Black, 128 GB)","₹11,999",10% off,6 GB RAM | 128 GB ROM,16.91 cm (6.657 inch) Full HD+ Display,50MP + 5MP + 2MP | 13MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Dimensity 6300 Processor
"Samsung Galaxy F36 5G (Violet, 128 GB)","₹17,499",23% off,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 2MP | 13MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Samsung Exynos 1380 Processor
"OnePlus Nord CE5 5G (Black Infinity, 128 GB)","₹24,255",28% off,8 GB RAM | 128 GB ROM,17.2 cm (6.77 inch) Display,50MP Rear Camera,7100 mAh Battery,1 Year Warranty,7100 mAh Battery
"realme C71 (Sea Blue, 128 GB)","₹8,699",40% off,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.14 cm (6.75 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,6300 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,T7250 Processor
"Samsung Galaxy F16 5G (Glam Green, 128 GB)","₹13,499",48% off,8 GB RAM | 128 GB ROM,16.91 cm (6.657 inch) Full HD+ Display,50MP + 5MP + 2MP | 13MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Dimensity 6300 Processor
"Samsung Galaxy A35 5G (Awesome Iceblue, 128 GB)","₹19,999",31% off,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP + 5MP | 13MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Samsung Exynos 1380 Processor
"MOTOROLA Edge 60 Fusion 5G (PANTONE Mykonos Blue, 256 GB)","₹24,999",23% off,12 GB RAM | 256 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Display,50MP + 13MP | 32MP Front Camera,5500 mAh Battery,1 Year Warranty on Handset and 6 Months Warranty on Accessories,68W Charger
"MOTOROLA g05 (Plum Red, 64 GB)","₹6,999",2% off,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,5100 mAh Battery,1 Year Warranty on Handset and 6 Months Warranty on Accessories,Helio G81 Processor
"Samsung Galaxy S24 5G (Amber Yellow, 128 GB)","₹46,999",20% off,8 GB RAM | 128 GB ROM,15.75 cm (6.2 inch) Full HD+ Display,50MP + 10MP + 12MP | 12MP Front Camera,4000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Exynos 2400 Processor
"OnePlus Nord CE4 lite 5G (SUPER SILVER, 128 GB)","₹17,120",28% off,8 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Display,50MP Rear Camera,5500 mAh Battery,1 year,5500 mAh Battery
"Samsung Galaxy F16 5G (Vibing Blue, 128 GB)","₹11,999",41% off,6 GB RAM | 128 GB ROM,16.91 cm (6.657 inch) Full HD+ Display,50MP + 5MP + 2MP | 13MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Dimensity 6300 Processor
"Samsung Galaxy F16 5G (Bling Black, 128 GB)","₹10,749",10% off,4 GB RAM | 128 GB ROM,16.91 cm (6.657 inch) Full HD+ Display,50MP + 5MP + 2MP | 13MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Dimensity 6300 Processor
"Motorola g45 5G (Viva Magenta, 128 GB)","₹11,999",30% off,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery,1 Year Warranty on Handset and 6 Months Warranty on Accessories,Snapdragon 6s Gen 3 Processor
"POCO M7 5G (Mint Green, 128 GB)","₹10,299",37% off,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.48 cm (6.88 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,5160 mAh Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4 Gen 2 5G Processor
"Samsung Galaxy F06 5G (Lit Violet, 128 GB)","₹8,699",18% off,4 GB RAM | 128 GB ROM | Expandable Upto 1500 GB,17.02 cm (6.7 inch) HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Dimensity 6300 Processor
"Samsung Galaxy F16 5G (Glam Green, 128 GB)","₹10,749",31% off,4 GB RAM | 128 GB ROM,16.91 cm (6.657 inch) Full HD+ Display,50MP + 5MP + 2MP | 13MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Dimensity 6300 Processor
"POCO C75 5G (Aqua Bliss, 128 GB)","₹8,499",32% off,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.48 cm (6.88 inch) HD+ Display,50MP Rear Camera | 5MP Front Camera,5160 mAh Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4s Gen 2 5G Processor
"realme C71 (Obsidian Black, 128 GB)","₹8,699",13% off,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.14 cm (6.75 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,6300 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,T7250 Processor
"Samsung Galaxy A35 5G (Awesome Lilac, 128 GB)","₹19,999",40% off,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP + 5MP | 13MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Samsung Exynos 1380 Processor
"Tecno Pova 6 Neo 5G (Aurora Cloud, 128 GB)","₹11,999",2% off,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Display,108MP Rear Camera | 8MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Phone,Dimensity 6300 5G Processor
"realme 15 5G (Flowing Silver, 128 GB)","₹25,999",28% off,8 GB RAM | 128 GB ROM,17.27 cm (6.8 inch) Display,50MP + 8MP | 50MP Front Camera,7000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,Mediatek Dimensity 7300+ 5G Processor
"realme 15 Pro 5G (Flowing Silver, 256 GB)","₹33,999",20% off,8 GB RAM | 256 GB ROM,17.27 cm (6.8 inch) Display,50MP + 50MP | 50MP Front Camera,7000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,Snapdragon 7 Gen 4 Processor
"realme P3 5G (Comet Grey, 128 GB)","₹15,999",20% off,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) Full HD+ Display,50MP + 2MP | 16MP Front Camera,6000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,6 Gen 4 Processor
"MOTOROLA G86 Power 5G (Pantone Spellbound, 128 GB)","₹17,999",26% off,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.02 cm (6.7 inch) Super HD Display,50MP + 8MP | 32MP Front Camera,6720 mAh Battery,1 Year Warranty on Handset and 6 Months Warranty on Accessories,Dimensity 7400 Processor
"Samsung Galaxy S24 FE 5G (Blue, 128 GB)","₹35,999",37% off,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 12MP | 10MP Front Camera,4700 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Exynos 2400e Processor
"Samsung Galaxy F16 5G (Bling Black, 128 GB)","₹11,999",32% off,6 GB RAM | 128 GB ROM,16.91 cm (6.657 inch) Full HD+ Display,50MP + 5MP + 2MP | 13MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Dimensity 6300 Processor
"MOTOROLA Edge 60 Fusion 5G (PANTONE Slipstream, 256 GB)","₹24,999",26% off,12 GB RAM | 256 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Display,50MP + 13MP | 32MP Front Camera,5500 mAh Battery,1 Year Warranty on Handset and 6 Months Warranty on Accessories,68W Charger
"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)","₹9,999",20% off,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.12 cm (6.74 inch) HD+ Display,50MP + 2MP | 5MP Front Camera,6000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,Dimensity 6300 5G Processor
"Samsung Galaxy F36 5G (Violet, 128 GB)","₹17,499",41% off,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 2MP | 13MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Samsung Exynos 1380 Processor
"realme 15 5G (Velvet Green, 256 GB)","₹27,999",25% off,8 GB RAM | 256 GB ROM,17.27 cm (6.8 inch) Display,50MP + 8MP | 50MP Front Camera,7000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,Mediatek Dimensity 7300+ 5G Processor
"Samsung Galaxy F16 5G (Glam Green, 128 GB)","₹13,499",13% off,8 GB RAM | 128 GB ROM,16.91 cm (6.657 inch) Full HD+ Display,50MP + 5MP + 2MP | 13MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Dimensity 6300 Processor
"Samsung Galaxy A35 5G (Awesome Iceblue, 128 GB)","₹19,999",10% off,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP + 5MP | 13MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Samsung Exynos 1380 Processor
"OPPO F27 Pro+ (Midnight Navy, 128 GB)","₹15,999",20% off,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,64MP + 2MP | 8MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,Dimensity 7050 Processor
"MOTOROLA G86 Power 5G (Pantone Golden Cypress, 128 GB)","₹17,999",10% off,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.02 cm (6.7 inch) Super HD Display,50MP + 8MP | 32MP Front Camera,6720 mAh Battery,1 Year Warranty on Handset and 6 Months Warranty on Accessories,Dimensity 7400 Processor
"Samsung Galaxy F16 5G (Vibing Blue, 128 GB)","₹11,999",40% off,6 GB RAM | 128 GB ROM,16.91 cm (6.657 inch) Full HD+ Display,50MP + 5MP + 2MP | 13MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Dimensity 6300 Processor
"Samsung Galaxy S24 5G (Amber Yellow, 128 GB)","₹46,999",31% off,8 GB RAM | 128 GB ROM,15.75 cm (6.2 inch) Full HD+ Display,50MP + 10MP + 12MP | 12MP Front Camera,4000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Exynos 2400 Processor
"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Midnight Violet, 128 GB)","₹11,999",10% off,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) HD+ Display,50MP + 2MP | 8MP Front Camera,6000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,Dimensity 6300 Processor
"realme Narzo 80 Lite 4G (Beach Gold, 64 GB)","₹7,325",28% off,4 GB RAM | 64 GB ROM,17.12 cm (6.74 inch) HD+ Display,13MP Rear Camera,6300 mAh Battery,1 year brand Warranty,6300 mAh Battery
"Samsung Galaxy F06 5G (Lit Violet, 128 GB)","₹8,699",23% off,4 GB RAM | 128 GB ROM | Expandable Upto 1500 GB,17.02 cm (6.7 inch) HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Dimensity 6300 Processor
"vivo T4x 5G (Pronto Purple, 128 GB)","₹13,999",12% off,6 GB RAM | 128 GB ROM,17.07 cm (6.72 inch) Display,50MP + 2MP | 8MP Front Camera,6500 mAh Battery,1 Year Warranty for Device and 6 Months Warranty for Accessories,Dimensity 7300 5G Processor
"Samsung Galaxy F16 5G (Glam Green, 128 GB)","₹10,749",28% off,4 GB RAM | 128 GB ROM,16.91 cm (6.657 inch) Full HD+ Display,50MP + 5MP + 2MP | 13MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Dimensity 6300 Processor
"Samsung Galaxy A35 5G (Awesome Lilac, 128 GB)","₹19,999",41% off,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP + 5MP | 13MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Samsung Exynos 1380 Processor
"MOTOROLA Edge 60 Pro (Pantone Shadow, 256 GB)","₹29,999",51% off,8 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Display,50MP + 50MP + 10MP | 50MP Front Camera,6000 mAh Battery,1 Year Warranty on Handset and 6 Months Warranty on Accessories,Dimensity 8350 Processor
"realme P3 5G (Nebula Pink, 128 GB)","₹16,999",10% off,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) Full HD+ Display,50MP + 2MP | 16MP Front Camera,6000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,6 Gen 4 Processor
"realme 15 5G (Flowing Silver, 128 GB)","₹25,999",31% off,8 GB RAM | 128 GB ROM,17.27 cm (6.8 inch) Display,50MP + 8MP | 50MP Front Camera,7000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,Mediatek Dimensity 7300+ 5G Processor
"realme 15 Pro 5G (Flowing Silver, 256 GB)","₹33,999",37% off,8 GB RAM | 256 GB ROM,17.27 cm (6.8 inch) Display,50MP + 50MP | 50MP Front Camera,7000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,Snapdragon 7 Gen 4 Processor
"Tecno Pova 7 5G (Magic Silver, 128 GB)","₹14,999",40% off,8 GB RAM | 128 GB ROM,17.22 cm (6.78 inch) Full HD+ Display,50MP + AI | 13MP Front Camera,6000 mAh Battery,1 Year Manufacturer Warranty for Phone,Dimensity 7300 Ultimate Processor
"CMF by Nothing Phone 2 Pro (White, 128 GB)","₹18,999",32% off,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.2 cm (6.77 inch) Display,50MP + 50MP + 8MP | 16MP Front Camera,5000 mAh Battery,1 Year Manufacturing Warranty,Dimensity 7300 Pro 5G Processor
"Samsung Galaxy S24 FE 5G (Blue, 128 GB)","₹35,999",51% off,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 12MP | 10MP Front Camera,4700 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Exynos 2400e Processor
"MOTOROLA G96 5G (Pantone Ashleigh Blue, 256 GB)","₹19,999",26% off,8 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,50MP + 8MP | 32MP Front Camera,5500 mAh Battery,1 Year Warranty on Handset and 6 Months Warranty on Accessories,7s Gen 2 Processor
"Samsung Galaxy F16 5G (Bling Black, 128 GB)","₹11,999",20% off,6 GB RAM | 128 GB ROM,16.91 cm (6.657 inch) Full HD+ Display,50MP + 5MP + 2MP | 13MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Dimensity 6300 Processor
