name,price,discount,memory,display,camera,battery,warranty,processor
"Tecno Pova 7 5G (Magic Silver, 256 GB)",₹990,37% off,8 GB RAM | 256 GB ROM,17.22 cm (6.78 inch) Full HD+ Display,50MP + AI | 13MP Front Camera,6000 mAh Battery,1 Year Manufacturer Warranty for Phone,Dimensity 7300 Ultimate Processor
hmd 105 Dual Sim,"₹19,999",13% off,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,5.08 cm (2 inch) Display,1000 mAh Battery,SC6531E Processor,1 Year Replacement.,SC6531E Processor
"Samsung Galaxy A35 5G (Awesome Lilac, 128 GB)","₹35,999",40% off,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP + 5MP | 13MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Samsung Exynos 1380 Processor
"Samsung Galaxy S24 FE 5G (Blue, 128 GB)","₹23,999",3% off,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 12MP | 10MP Front Camera,4700 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Exynos 2400e Processor
"POCO X7 Pro 5G (Obsidian Black, 256 GB)",₹749,32% off,8 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Display,50MP + 8MP | 20MP Front Camera,6550 mAh Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,Dimensity D8400 Ultra Processor
Samsung Guru 1200,"₹11,999",13% off,4 MB RAM | 10 MB ROM,3.86 cm (1.52 inch) Display,800 mAh Battery,NA,NA,800 mAh Battery
"Samsung Galaxy F16 5G (Bling Black, 128 GB)","₹1,069",28% off,6 GB RAM | 128 GB ROM,16.91 cm (6.657 inch) Full HD+ Display,50MP + 5MP + 2MP | 13MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Dimensity 6300 Processor
itel Keypad Mobile | 2.4 inch Display| Type C Charging,"₹17,499",13% off,4 MB RAM | 4 MB ROM,6.1 cm (2.4 inch) Display,0.3MP Rear Camera,1200 mAh Battery,1 year manufacturer,1200 mAh Battery
"Samsung Galaxy F36 5G (Violet, 128 GB)","₹13,499",37% off,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 2MP | 13MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Samsung Exynos 1380 Processor
"Samsung Galaxy F16 5G (Glam Green, 128 GB)",₹992,32% off,8 GB RAM | 128 GB ROM,16.91 cm (6.657 inch) Full HD+ Display,50MP + 5MP + 2MP | 13MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Dimensity 6300 Processor
LAVA A1 Josh BOL Keypad Mobile|1000 mAh Battery|Expandable Storage 32GB,"₹44,998",8% off,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,4.5 cm (1.77 inch) Quarter QVGA Display,1000 mAh Battery,1 Year Manufacturer Replacement Guarantee for Phone and 6 months Replacement for Accessories in the Box,1 Year Manufacturer Replacement Guarantee for Phone and 6 months Replacement for Accessories in the Box,1000 mAh Battery
"OnePlus 13R 5G (Astral Trail, 512 GB)","₹19,999",8% off,16 GB RAM | 512 GB ROM,17.22 cm (6.78 inch) Display,50MP Rear Camera,6000 mAh Battery,1 year manufacturer warranty for device and 1 year manufacturer warranty for in-box accessories including batteries from the date of purchase,6000 mAh Battery
"Samsung Galaxy A35 5G (Awesome Iceblue, 128 GB)","₹46,999",41% off,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP + 5MP | 13MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Samsung Exynos 1380 Processor
"Samsung Galaxy S24 5G (Amber Yellow, 128 GB)","₹15,999",13% off,8 GB RAM | 128 GB ROM,15.75 cm (6.2 inch) Full HD+ Display,50MP + 10MP + 12MP | 12MP Front Camera,4000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Exynos 2400 Processor
"Motorola g64 5G (Pearl Blue, 256 GB)","₹31,999",13% off,12 GB RAM | 256 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) Full HD+ Display,50MP (OIS) + 8MP | 16MP Front Camera,6000 mAh Battery,1 Year on Handset and 6 Months on Accessories,Dimensity 7025 Processor
"POCO F7 5G (Frost White, 256 GB)","₹11,999",10% off,12 GB RAM | 256 GB ROM,17.35 cm (6.83 inch) Display,50MP Rear Camera | 20MP Front Camera,7550 mAh Li-Polymer + Silicon Carbon Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"Battery
7550mAh, 90W charger, 22.5W reverse charging"
